area,add_secondary_pre2015,group
襄阳,4477418.96344,control
西宁,1448990.48212,control
西安,6708324.254600001,control
许昌,4094092.3382800003,control
贵港,950258.9124799999,control
贵阳,2722429.71948,control
贺州,692537.68128,control
资阳,1687086.90372,control
赣州,2231158.65662,control
赤峰,2399756.5274,control
辽源,1015478.4289200001,control
辽阳,2216767.69856,control
达州,1995669.0311200002,control
运城,1923156.58092,control
连云港,2587537.7256799997,control
通化,1569688.94808,control
通辽,2656016.8248,control
遂宁,1160018.34076,control
遵义,2077352.00212,control
邢台,3421116.3839200004,control
那曲,391272.28,control
邯郸,5959681.67508,control
邵阳,1409707.7581600002,control
郑州,10554816.696800001,treated
郴州,2750067.05152,control
鄂尔多斯,6293162.412719999,control
鄂州,1142464.98252,control
酒泉,867411.82236,control
重庆,18797727.06664,treated
金华,5653771.36308,control
金昌,780884.41628,control
钦州,940834.99868,control
铁岭,1539437.1989199999,control
铜仁,500092.5193,control
铜川,566087.924,control
铜陵,1466024.95808,control
银川,1817736.18276,control
锦州,2035624.4209599998,control
镇江,5489038.10944,control
长春,8496254.5902,treated
长沙,10564999.454880001,treated
长治,2752513.52268,control
阜新,782047.59492,control
阜阳,1430787.62572,control
防城港,742601.07138,control
阳江,1413178.3778,control
阳泉,1252058.56264,control
陇南,313836.10896000004,control
随州,1042766.82644,control
雅安,744605.99116,control
青岛,13320726.89776,treated
鞍山,5658806.5186,control
韶关,1635172.98,control
马鞍山,2671879.23016,control
驻马店,2090987.7050400001,control
鸡西,821698.91256,control
鹤壁,1340870.84896,control
鹤岗,528856.15324,control
鹰潭,950957.69792,control
黄冈,1856721.60592,control
黄山,671445.1225599999,control
黄石,2160413.956,control
黑河,252984.12628,control
齐齐哈尔,1650127.3059599998,control
龙岩,2418180.80888,control
