area,avg_pre2015_emissions,group
陇南,10199.6,control
随州,4582.0,control
雅安,40951.2,control
青岛,247042.4,control
鞍山,135293.4,control
韶关,104093.0,control
马鞍山,155447.6,control
驻马店,71859.8,control
鸡西,25449.0,control
鹤壁,101096.0,control
鹤岗,27435.6,control
鹰潭,1322840.2,treated
黄冈,51516.6,control
黄山,3528.6,control
黄石,699051.2,treated
黑河,28675.2,control
齐齐哈尔,5903.0,control
龙岩,63134.8,control
